year,가톨릭,합격인원,건국대,합격인원,경희대,합격인원,고려대,합격인원,광운대,합격인원,단국대,합격인원,덕성여대,합격인원,동국대,합격인원,동덕여대,합격인원,서강대,합격인원,서울과기대,합격인원,서울시립대,합격인원,성균관대,합격인원,성신여대,합격인원,세종대,합격인원,숙명여대,합격인원,숭실대,합격인원,아주대,합격인원,연세대,합격인원,이화여대,합격인원,인하대,합격인원,중앙대,합격인원,중앙대(다빈치),합격인원,한양대,합격인원,항공대,합격인원,홍익대,합격인원,,학교명,논술유형,수능최저
2025,,,99,1,88,2,99,1,,,,,,,97,1,,,,,92,2,,,96,1,,,62,4,,,91,2,,,97,1,,,,,97,1,,,,,88,2,94,2,,,,
2025,,,94,2,,,97,1,,,,,,,81,3,,,,,79,3,,,97,1,,,88,2,,,88,2,,,,,,,74,4,,,,,88,2,81,3,94,2,,,,
2025,,,100,1,94,2,96,1,,,,,,,81,3,,,,,88,2,,,99,1,,,94,2,,,99,1,,,,,,,94,2,94,2,,,88,2,88,2,94,2,,,,
2025,,,,,94,2,100,1,,,,,,,99,1,,,,,88,2,,,,,,,81,3,,,88,2,,,,,,,94,2,94,2,,,97,1,88,2,88,2,,,,
2025,,,94,2,94,2,100,1,,,,,,,79,3,,,,,84,3,,,97,1,,,88,2,,,88,2,,,,,,,81,3,97,1,,,94,2,81,3,84,3,,,,
2025,,,94,2,97,1,,,,,,,,,,,,,,,65,4,,,99,1,,,88,2,,,88,2,,,,,,,88,2,81,3,,,88,2,81,3,84,3,,,,
2025,,,88,2,94,2,99,1,,,,,,,,,,,,,84,3,,,96,1,,,88,2,,,84,3,,,,,,,74,4,97,1,,,97,1,96,1,97,1,,,,
2025,,,94,2,94,2,97,1,,,,,,,,,,,,,74,4,,,88,2,,,97,1,,,,,,,,,,,84,3,74,4,,,99,1,94,2,100,1,,,,
2025,,,81,3,76,3,96,1,,,,,,,,,,,,,88,2,,,91,2,,,94,2,,,,,,,,,,,81,3,88,2,,,97,1,,,97,1,,,,
2025,,,98,1,81,3,88,2,,,,,,,,,,,,,69,4,,,91,2,,,88,2,,,,,,,,,,,76,3,94,2,,,100,1,96,1,88,2,,,,
2025,,,100,1,100,1,100,1,,,,,,,,,,,,,76,3,,,,,,,88,2,,,,,,,,,,,99,1,97,1,,,88,2,76,3,72,4,,,,
2025,,,81,3,72,4,,,,,,,,,,,,,,,,,,,88,2,,,97,1,,,,,,,,,,,81,3,97,1,,,98,1,88,2,88,2,,,,
2025,,,94,2,94,2,100,1,,,,,,,,,,,,,,,,,94,2,,,81,3,,,,,,,,,,,81,3,99,1,,,,,,,99,1,,,,
2025,,,,,88,2,88,2,,,,,,,,,,,,,,,,,99,1,,,94,2,,,,,,,,,,,94,2,99,1,,,94,2,,,88,2,,,,
2025,,,94,2,69,4,99,1,,,,,,,,,,,,,,,,,100,1,,,76,3,,,,,,,,,,,94,2,94,2,,,88,2,,,81,3,,,,
2025,,,94,2,88,2,94,2,,,,,,,,,,,,,,,,,99,1,,,96,1,,,,,,,,,,,88,2,98,1,,,88,2,,,94,2,,,,
2025,,,,,88,2,99,1,,,,,,,,,,,,,,,,,99,1,,,81,3,,,,,,,,,,,84,3,91,2,,,100,1,,,99,1,,,,
2025,,,,,100,1,100,1,,,,,,,,,,,,,,,,,97,1,,,94,2,,,,,,,,,,,97,1,88,2,,,,,,,97,1,,,,
2025,,,,,100,1,88,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,99,1,,,,,,,88,2,,,,
2025,,,,,99,1,94,2,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,97,1,97,1,,,,,,,91,2,,,,
2025,,,,,92,2,100,1,,,,,,,,,,,,,,,,,,,,,97,1,,,,,,,,,,,94,2,,,,,,,,,88,2,,,,
2025,,,,,97,1,97,1,,,,,,,,,,,,,,,,,,,,,99,1,,,,,,,,,,,88,2,98,1,,,,,,,76,3,,,,
2025,,,,,94,2,99,1,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,91,2,99,1,,,,,,,96,1,,,,
2025,,,,,88,2,96,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,81,3,92,2,,,,,,,97,1,,,,
2025,,,,,97,1,94,2,,,,,,,,,,,,,,,,,,,,,97,1,,,,,,,,,,,,,79,3,,,,,,,97,1,,,,
2025,,,,,88,2,97,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,96,1,,,,,,,94,2,,,,
2025,,,,,99,1,99,1,,,,,,,,,,,,,,,,,,,,,76,3,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,94,2,99,1,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,67,4,100,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,100,1,,,,
2025,,,,,81,3,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,81,3,,,,
2025,,,,,99,1,97,1,,,,,,,,,,,,,,,,,,,,,84,3,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,88,2,100,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,81,3,,,,
2025,,,,,94,2,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,99,1,,,,
2025,,,,,94,2,98,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,,,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,91,2,,,,
2025,,,,,99,1,91,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,88,2,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,84,3,,,,
2025,,,,,100,1,97,1,,,,,,,,,,,,,,,,,,,,,94,2,,,,,,,,,,,,,,,,,,,,,91,2,,,,
2025,,,,,94,2,81,3,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,94,2,,,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,76,3,,,,
2025,,,,,94,2,,,,,,,,,,,,,,,,,,,,,,,81,3,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,97,1,,,,,,,,,,,,,,,,,,,,,,,79,3,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,99,1,,,,,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,88,2,,,,,,,,,,,,,,,,,,,,,,,96,1,,,,,,,,,,,,,,,,,,,,,76,3,,,,
2025,,,,,88,2,,,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,88,2,,,,,,,,,,,,,,,,,,,,,,,69,4,,,,,,,,,,,,,,,,,,,,,97,1,,,,
2025,,,,,88,2,,,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,88,2,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2,,,,,,,,,,,,,,,,,,,,,97,1,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,2,,,,,,,,,,,,,,,,,,,,,96,1,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,2,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1,,,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,3,,,,
